precinct_text_name,Count
Hutchinson 17,848
Hutchinson 18,487
Hutchinson 19,585
Hutchinson 2,607
Hutchinson 20,837
Hutchinson 21,1611
Hutchinson 22-H104,1076
Hutchinson 23 Exclave,260
Hutchinson 23 H104,1301
Hutchinson 24,864
Hutchinson 25,895
Hutchinson 26,419
Hutchinson 26 Exclave H102,134
Hutchinson 27,614
Hutchinson 28,1305
Hutchinson 28 Exclave,581
Hutchinson 29,612
Hutchinson 3,371
Hutchinson 30,462
Hutchinson 31,723
Hutchinson 32,207
Hutchinson 33,256
Hutchinson 34,133
Hutchinson 34 Exclave,1
Hutchinson 35,348
Hutchinson 4,1184
Hutchinson 5,877
Hutchinson 6,713
Hutchinson 7,837
Hutchinson 8,392
Hutchinson 9,1024
Ichabod Washburn - Mission,13
IL01,1543
Illinois Township,167
Illinois Twnshp,124
Illinois Twsp.,36
InC W1,857
InC W2 P1,244
InC W2 P2,227
InC W3 P1,735
InC W3 P1 ExA,1
InC W3 P2,33
InC W4 P1,924
InC W5,963
InC W6 P1,1031
InC W6 P2,518
InC W6 P3,234
Independence Precinct,79
Independence Twp,17
Independent Twp,555
Indian Creek Twp,101
Indian Hills - Mission,651
Indiana Township,82
Indianola - Soldier,741
Ingalls City,189
Ingalls Twp,161
Inman City,922
Iola City,3641
Ionia Township,51
Iowa Township,20
Iroquois - Soldier,970
Irving Twp,227
Isbel Twp,62
Itasca Township,212
Ivanhoe,87
J BARKER 122-A,781
J BARKER 122-C,2
J BARKER 123-A,24
J BARKER 123-B,8
J BARKER 123-F,8
J BARKER 123-G,4
J BARKER 123-H,4
Jackson Township,129
Jackson Twnshp H79,23
Jackson Twnshp H80,84
Jackson Twp,756
Janesville Twp,159
Jaqua Twp,9
Jefferson,820
Jefferson  (Jefferson),331
Jefferson Township,841
Jefferson Twp,88
Jerome,83
Jewell City,278
Johnson,39
Jones,8
KALVESTA 122,94
Kanopolis City,335
Kanorado City,90
Kanwaka 56 C1 H45,98
Kanwaka 56 S19 H47,23
Kanwaka 56 S3 H47,1164
Kapioma,188
Kaw - Tecumseh,732
Kaw Township,1043
KC01-01,288
KC01-02,368
KC01-03,237
KC01-05,35
KC02-01,491
KC02-02,330
KC02-03,89
KC02-04,487
KC02-05,641
KC02-06,25
KC03-01,931
KC03-02,950
KC03-03,174
KC03-04,655
KC03-05,53
KC04-01,844
KC04-02,383
KC04-03,602
KC04-04,1017
KC05-01,991
KC05-02,482
KC05-03,464
KC05-04,543
KC05-05,522
KC06-01,626
KC06-02,266
KC07-01,563
KC07-02,461
KC07-03,599
KC07-04,953
KC07-05,212
